Date,PX_LAST
3/31/2026,181.83
3/30/2026,185.48
3/27/2026,188.18
3/26/2026,185.32
3/25/2026,181.62
3/24/2026,180.24
3/23/2026,174.87
3/20/2026,177.12
3/19/2026,175.04
3/18/2026,173.36
3/17/2026,170.08
3/16/2026,167.37
3/13/2026,167.89
3/12/2026,166.71
3/11/2026,164.69
3/10/2026,159
3/9/2026,161.82
3/6/2026,164.13
3/5/2026,163.82
3/4/2026,160.77
3/3/2026,158.99
3/2/2026,159.56
2/27/2026,153.72
2/26/2026,149.79
2/25/2026,148.39
2/24/2026,149.56
2/23/2026,149.49
2/20/2026,151.86
2/19/2026,151.36
2/18/2026,148.05
2/17/2026,145.4
2/13/2026,147.89
2/12/2026,144.63
2/11/2026,149.06
2/10/2026,145.62
2/9/2026,146.49
2/6/2026,146.41
2/5/2026,141.46
2/4/2026,143.81
2/3/2026,139.78
2/2/2026,135.76
1/30/2026,140.24
1/29/2026,138.97
1/28/2026,137.1
1/27/2026,135.4
1/26/2026,134.79
1/23/2026,135.22
1/22/2026,134.53
1/21/2026,134.63
1/20/2026,129.76
1/16/2026,130.29
1/15/2026,130.28
1/14/2026,131.94
1/13/2026,129.75
1/12/2026,127.54
1/9/2026,127.41
1/8/2026,128.46
1/7/2026,123.96
1/6/2026,125.54
1/5/2026,127.5
1/2/2026,128.96
12/31/2025,126.26
12/30/2025,127.43
12/29/2025,126.46
12/26/2025,124.96
12/24/2025,125.92
12/23/2025,126.48
12/22/2025,125.25
12/19/2025,125.56
12/18/2025,125.09
12/17/2025,127.9
12/16/2025,124.96
12/15/2025,129.88
12/12/2025,131.73
12/11/2025,133.01
12/10/2025,135.22
12/9/2025,134.55
12/8/2025,134.13
12/5/2025,136.69
12/4/2025,136.48
12/3/2025,136.48
12/2/2025,133.05
12/1/2025,135.08
11/28/2025,134.02
11/26/2025,131.68
11/25/2025,130.22
11/24/2025,130.83
11/21/2025,129.74
11/20/2025,128.56
11/19/2025,131.88
11/18/2025,133.49
11/17/2025,131.44
11/14/2025,134.01
11/13/2025,131.92
11/12/2025,132.05
11/11/2025,134.13
11/10/2025,131.41
11/7/2025,129.48
11/6/2025,126.84
11/5/2025,124.74
11/4/2025,125.93
11/3/2025,127.66
10/31/2025,126.82
10/30/2025,125.86
10/29/2025,126.36
10/28/2025,125.83
10/27/2025,128.35
10/24/2025,128.46
10/23/2025,129.66
10/22/2025,124.9
10/21/2025,124.34
10/20/2025,125.27
10/17/2025,123.57
10/16/2025,123.29
10/15/2025,125.93
10/14/2025,126.14
10/13/2025,127.21
10/10/2025,123.96
10/9/2025,131
10/8/2025,133.92
10/7/2025,133.73
10/6/2025,134.15
10/3/2025,133.19
10/2/2025,131.87
10/1/2025,134.49
9/30/2025,132.2
9/29/2025,133.5
9/26/2025,137.24
9/25/2025,136.09
9/24/2025,135.28
9/23/2025,133.24
9/22/2025,130.19
9/19/2025,130.1
9/18/2025,132.92
9/17/2025,133.33
9/16/2025,133.42
9/15/2025,129.34
9/12/2025,130.13
9/11/2025,131.37
9/10/2025,131.77
9/9/2025,129.03
9/8/2025,128.69
9/5/2025,129.64
9/4/2025,132.25
9/3/2025,130.84
9/2/2025,134.57
8/29/2025,133.01
8/28/2025,132.78
8/27/2025,131.4
8/26/2025,129.54
8/25/2025,129.96
8/22/2025,128.62
8/21/2025,124.36
8/20/2025,124.11
8/19/2025,122.92
8/18/2025,123.48
8/15/2025,124.52
8/14/2025,125.15
8/13/2025,124.93
8/12/2025,123.27
8/11/2025,121.81
8/8/2025,122.99
8/7/2025,122.54
8/6/2025,123.71
8/5/2025,125.04
8/4/2025,124.09
8/1/2025,123.7
7/31/2025,128.15
7/30/2025,129.7
7/29/2025,131.78
7/28/2025,130.93
7/25/2025,128.02
7/24/2025,128.79
7/23/2025,128.46
7/22/2025,127.57
7/21/2025,126.17
7/18/2025,129.41
7/17/2025,129.22
7/16/2025,126.74
7/15/2025,128.84
7/14/2025,131.68
7/11/2025,133.07
7/10/2025,132.29
7/9/2025,130.71
7/8/2025,131.81
7/7/2025,127.75
7/3/2025,129.17
7/2/2025,129.28
7/1/2025,126.88
6/30/2025,125.8
6/27/2025,127.2
6/26/2025,127.78
6/25/2025,126.14
6/24/2025,128.04
6/23/2025,128.96
6/20/2025,134.55
6/18/2025,133.86
6/17/2025,134.83
6/16/2025,133.1
6/13/2025,132.78
6/12/2025,129.33
6/11/2025,128.5
6/10/2025,126.1
6/9/2025,124.27
6/6/2025,123.23
6/5/2025,120.31
6/4/2025,120.61
6/3/2025,123.64
6/2/2025,121.12
5/30/2025,119.55
5/29/2025,121.18
5/28/2025,120.64
5/27/2025,122.75
5/23/2025,120.84
5/22/2025,120.73
5/21/2025,120.8
5/20/2025,123.51
5/19/2025,124.16
5/16/2025,125.45
5/15/2025,125.57
5/14/2025,126.73
5/13/2025,127.35
5/12/2025,123.27
5/9/2025,118.84
5/8/2025,117
5/7/2025,113.29
5/6/2025,113.14
5/5/2025,112.96
5/2/2025,114.95
5/1/2025,112.7
4/30/2025,110.71
4/29/2025,113.91
4/28/2025,114.7
4/25/2025,113.38
4/24/2025,112.77
4/23/2025,111.59
4/22/2025,111.22
4/21/2025,108.55
4/17/2025,111.93
4/16/2025,108.89
4/15/2025,106.95
4/14/2025,107.49
4/11/2025,107.57
4/10/2025,104.39
4/9/2025,113.74
4/8/2025,101.91
4/7/2025,106.25
4/4/2025,106.71
4/3/2025,119.46
4/2/2025,133.75
4/1/2025,132.45
3/31/2025,131.71
3/28/2025,130.68
3/27/2025,131.82
3/26/2025,133.15
3/25/2025,132.54
3/24/2025,132.5
3/21/2025,131.36
3/20/2025,133.23
3/19/2025,133.36
3/18/2025,130.28
3/17/2025,129.51
3/14/2025,126.93
3/13/2025,122.65
3/12/2025,124.44
3/11/2025,123.16
3/10/2025,122.54
3/7/2025,122.56
3/6/2025,120.5
3/5/2025,121.92
3/4/2025,123.87
3/3/2025,124.57
2/28/2025,130.91
2/27/2025,129.58
2/26/2025,130.51
2/25/2025,131.64
2/24/2025,134.82
2/21/2025,135.31
2/20/2025,139.69
2/19/2025,139.94
2/18/2025,138.24
2/14/2025,136.67
2/13/2025,135.58
2/12/2025,134.79
2/11/2025,139.28
2/10/2025,138.09
2/7/2025,133.25
2/6/2025,133.92
2/5/2025,136.96
2/4/2025,137.16
2/3/2025,133.91
1/31/2025,134.16
1/30/2025,137.43
1/29/2025,138.13
1/28/2025,137.32
1/27/2025,138.03
1/24/2025,140.74
1/23/2025,142.7
1/22/2025,142.46
1/21/2025,143.77
1/17/2025,145.45
1/16/2025,145.88
1/15/2025,145.61
1/14/2025,142.89
1/13/2025,141.91
1/10/2025,139.31
1/8/2025,137.67
1/7/2025,136.76
1/6/2025,135.23
1/3/2025,135.57
1/2/2025,134.82
12/31/2024,132.37
